4748	
1	
Simojarvi_05	
0	-4.6
0	-13.2
0.798	-14.1
1.463	-11.4
0.266	-11.6
0	-9.4
6.783	-3.1
0	-4.9
1.064	-11.5
3.724	-10.7
0	-20
0	-25.5
0	-21.8
3.724	-22.2
0.665	-15.5
4.123	-16.2
3.591	-16.4
0.532	-17.3
0	-19.7
0	-20.9
0	-21.2
0.798	-13.8
1.463	-11.7
6.916	-9
4.123	-11.4
0	-17.8
0	-14.8
0	-13.2
7.049	-13.3
1.995	-8.9
4.655	-5.2
14.763	-0.1
1.8972	1.1
5.92875	0.5
0.1581	0.5
4.18965	0.6
0	2.3
8.77455	2
1.34385	0.2
1.596	-2.5
1.729	-5.1
0	-5.1
6.251	-2.4
3.059	-0.7
2.261	-2.5
12.236	-2.9
5.985	-1.9
1.596	-3.7
0	-5.9
13.965	-6.3
7.049	-0.8
0	2
1.596	-0.5
0	2.1
0	2.4
0	-3.8
0.532	-9.4
5.32	-4.9
1.064	-5.8
0	-7.9
0	-11.7
0	-9.3
1.463	-11.8
5.453	-4.1
5.852	-2.7
0	-6.5
4.788	-12.4
0.798	-5.5
0	-11.6
0	-9.3
0	-13.6
0	-11.6
1.596	-10.1
4.655	-0.4
0	1.4
0	-0.5
0.23715	1.6
9.72315	2
4.4268	0.1
9.31	-3.6
0.532	-0.1
1.463	-0.8
0	-2.5
0	-2.4
0	-5.7
0	-3.6
0	0.9
1.66005	0.3
0.133	-0.1
0	0.5
0	-4.1
0	-5.4
2.66	-7.1
1.463	-5.1
0	-6.5
0	-8.2
0	-7
2.793	-5.6
2.6877	0.9
0.7905	1.6
0	1.5
0	2.9
0	1.6
0	1.1
0	5.5
2.0553	6.3
0.07905	4
0.4743	3.6
0	4.7
0	4.5
0	5.9
0.1581	6.4
0	4.3
0	4.7
0	6.6
0	9.3
0.1581	8.4
0	3.7
0	4.4
0	7.1
0	4.6
0	8
0.1581	10.7
0	5.4
0	8
0	6.1
0.07905	4
0.7905	0.5
0	1.7
0	4.4
0.07905	3.5
0	3.2
0	6.6
0	8.3
9.6441	6.7
0	4.3
0	3.8
0.07905	2.5
0.07905	3.3
0	5.3
0	5.6
0	6.8
0	7.7
0	9.5
0	9.5
0	10.3
0	6.5
0	6.4
0	9.5
0.07905	10.8
0	7.4
0	7.1
5.2173	9.7
11.8575	9.9
0.07905	7.7
0	7.9
0	11
0	11.9
0.86955	12.4
0	12.6
0	10.2
0.86955	8.7
0	9.7
0	10.2
0	9.2
2.60865	10.7
0.4743	5.7
0	10.7
2.45055	12.9
0	13.9
0	12.4
0	15
0	18.2
0	20
0	20.6
0	21.9
0.7905	16.8
0.7905	14.2
0	14
13.1223	12.2
2.8458	9.9
0	10.3
3.24105	11.9
0.3162	12.3
14.8614	13
0	15.1
5.6916	15.3
0.3162	16.7
1.02765	14.6
7.905	14.9
2.3715	14.2
1.1067	14.4
7.82595	13.6
1.581	13.1
0	12.5
4.34775	10.2
0	16.2
0	14.3
0.7905	15.6
0	19.4
4.2687	18.7
0	17.8
8.8536	16.5
0	18
0	16.4
0	14.4
0	14.5
0	15.3
0	13.1
